# CardIndex ledger — assigned once, never reused, never reordered.
#
# A card's index is its permanent rules identity: DeckEntry stores one, the
# gateway persists decks made of them, and a replay names them. So this file
# is append-only. A new card takes the next free index; a card that leaves the
# corpus retires its own and the slot stays empty.
#
# Indices are assigned by first appearance over the whole card corpus, not
# over the cards this repo implements — so adopting an old card inserts
# nothing. The order is written down rather than recomputed, because what it
# derives from (release dates, the corpus filter, Scryfall's own errata) is
# not a constant.
#
# index, oracle_id, const and set are FROZEN: the workspace names them.
# name follows Scryfall, so a rename shows in the diff.
#
# Seeded by `baylee-catalog corpus` + `cargo xtask ledger`; read by
# `cargo xtask codegen`, which never assigns. `codegen --check` fails if a run
# would change this file, so no index is assigned outside a commit.
#
# index	oracle_id	const	set	name
216	a1f20695-6f08-4d5c-9fba-b0018bee298e	SCRYB_SPRITES	lea	Scryb Sprites
217	c16495fc-784d-4bac-9a68-ed437008df73	SEA_SERPENT	lea	Sea Serpent
218	a6a43190-cca2-4f07-afe9-8af681d777da	SEDGE_TROLL	lea	Sedge Troll
219	749141aa-f6c4-4ad8-b146-406e68ae9b0b	SENGIR_VAMPIRE	lea	Sengir Vampire
220	4b7ac066-e5c7-43e6-9e7e-2739b24a905d	SERRA_ANGEL	lea	Serra Angel
221	998484cc-fefc-4da5-9987-5d6e89599c34	SHANODIN_DRYADS	lea	Shanodin Dryads
222	84d32e68-72b9-432d-a023-7bc6a26b8ad0	SHATTER	lea	Shatter
223	711eea87-0fa3-46e0-a42b-fa5a86455f04	SHIVAN_DRAGON	lea	Shivan Dragon
224	20d69989-7250-40c7-a064-8ed78ccbe556	SIMULACRUM	lea	Simulacrum
225	5a46ad2a-35b1-4dd5-b7c3-fec36b7c67ab	SINKHOLE	lea	Sinkhole
226	269fc857-a052-4f0a-9759-467ccf42bebb	SIREN_S_CALL	lea	Siren's Call
227	99dba614-40d3-41c1-a3b2-edc8777b010f	SLEIGHT_OF_MIND	lea	Sleight of Mind
228	8aa97d25-cd51-4ceb-b7eb-af64f0914a8c	SMOKE	lea	Smoke
229	6ad8011d-3471-4369-9d68-b264cc027487	SOL_RING	lea	Sol Ring
230	6021c2d6-d098-4de2-9c7e-4c571f9238f6	SOUL_NET	lea	Soul Net
231	04477339-7ed5-4770-9e5c-6e481ffcc858	SPELL_BLAST	lea	Spell Blast
232	a8cf1379-0195-4e11-b994-481ef1284245	STASIS	lea	Stasis
233	cd8ae9f2-edac-473a-8846-c08219e617c3	STEAL_ARTIFACT	lea	Steal Artifact
234	0b8e3f9b-a4da-49a3-8545-ce7a265e5856	STONE_GIANT	lea	Stone Giant
235	6e880df6-fc00-43d2-a9c8-f575f40b78c6	STONE_RAIN	lea	Stone Rain
236	9eb2912d-2130-49f2-9529-b58fa5a97a15	STREAM_OF_LIFE	lea	Stream of Life
237	eea64b1f-d6a9-4f72-8612-efab4b124b63	SUNGLASSES_OF_URZA	lea	Sunglasses of Urza
238	56719f6a-1a6c-4c0a-8d21-18f7d7350b68	SWAMP	lea	Swamp
239	b1544f21-7e98-461b-aed5-e748b0168c52	SWORDS_TO_PLOWSHARES	lea	Swords to Plowshares
240	22e3cf1d-3559-4ce1-954c-8dc815342979	TAIGA	lea	Taiga
241	b81f041d-98db-4408-9472-c483e4a502bc	TERROR	lea	Terror
